quote
EURHKD
EURCNH
EURDKK
EURMXN
EURPLN
EURXAG
EURXAU
EURBTC
EURETH
EURLTC
EURXRP
EURDSH
EURBCH
USDEUR
USDGBP
USDAUD
USDNZD
USDXAG
USDXAU
USDBTC
USDETH
USDLTC
USDXRP
USDDSH
USDBCH
JPYEUR
JPYUSD
JPYGBP
JPYCAD
JPYCHF
JPYAUD
JPYNZD
JPYSGD
JPYNOK
JPYRUB
JPYSEK
JPYTRY
JPYZAR
JPYHKD
JPYCNH
JPYDKK
JPYMXN
JPYPLN
JPYXAG
JPYXAU
JPYBTC
JPYETH
JPYLTC
JPYXRP
JPYDSH
JPYBCH
GBPEUR
GBPRUB
GBPTRY
GBPZAR
GBPCNH
GBPDKK
GBPMXN
GBPPLN
GBPXAG
GBPXAU
GBPBTC
GBPETH
GBPLTC
GBPXRP
GBPDSH
GBPBCH
CADEUR
CADUSD
CADGBP
CADAUD
CADNZD
CADSGD
CADNOK
CADRUB
CADSEK
CADTRY
CADZAR
CADHKD
CADCNH
CADDKK
CADMXN
CADPLN
CADXAG
CADXAU
CADBTC
CADETH
CADLTC
CADXRP
CADDSH
CADBCH
CHFEUR
CHFUSD
CHFGBP
CHFCAD
CHFAUD
CHFNZD
CHFNOK
CHFRUB
CHFSEK
CHFTRY
CHFZAR
CHFHKD
CHFCNH
CHFDKK
CHFMXN
CHFPLN
CHFXAG
CHFXAU
CHFBTC
CHFETH
CHFLTC
CHFXRP
CHFDSH
CHFBCH
AUDEUR
AUDGBP
AUDNOK
AUDRUB
AUDSEK
AUDTRY
AUDZAR
AUDHKD
AUDCNH
AUDDKK
AUDMXN
AUDPLN
AUDXAG
AUDXAU
AUDBTC
AUDETH
AUDLTC
AUDXRP
AUDDSH
AUDBCH
NZDEUR
NZDGBP
NZDAUD
NZDSGD
NZDNOK
NZDRUB
NZDSEK
NZDTRY
NZDZAR
NZDHKD
NZDCNH
NZDDKK
NZDMXN
NZDPLN
NZDXAG
NZDXAU
NZDBTC
NZDETH
NZDLTC
NZDXRP
NZDDSH
NZDBCH
SGDEUR
SGDUSD
SGDGBP
SGDCAD
SGDCHF
SGDAUD
SGDNZD
SGDNOK
SGDRUB
SGDSEK
SGDTRY
SGDZAR
SGDHKD
SGDCNH
SGDDKK
SGDMXN
SGDPLN
SGDXAG
SGDXAU
SGDBTC
SGDETH
SGDLTC
SGDXRP
SGDDSH
SGDBCH
NOKEUR
NOKUSD
NOKGBP
NOKCAD
NOKCHF
NOKAUD
NOKNZD
NOKSGD
NOKRUB
NOKSEK
NOKTRY
NOKZAR
NOKHKD
NOKCNH
NOKDKK
NOKMXN
NOKPLN
NOKXAG
NOKXAU
NOKBTC
NOKETH
NOKLTC
NOKXRP
NOKDSH
NOKBCH
RUBEUR
RUBUSD
RUBJPY
RUBGBP
RUBCAD
RUBCHF
RUBAUD
RUBNZD
RUBSGD
RUBNOK
RUBSEK
RUBTRY
RUBZAR
RUBHKD
RUBCNH
RUBDKK
RUBMXN
RUBPLN
RUBXAG
RUBXAU
RUBBTC
RUBETH
RUBLTC
RUBXRP
RUBDSH
RUBBCH
SEKEUR
SEKUSD
SEKJPY
SEKGBP
SEKCAD
SEKCHF
SEKAUD
SEKNZD
SEKSGD
SEKNOK
SEKRUB
SEKTRY
SEKZAR
SEKHKD
SEKCNH
SEKDKK
SEKMXN
SEKPLN
SEKXAG
SEKXAU
SEKBTC
SEKETH
SEKLTC
SEKXRP
SEKDSH
SEKBCH
TRYEUR
TRYUSD
TRYJPY
TRYGBP
TRYCAD
TRYCHF
TRYAUD
TRYNZD
TRYSGD
TRYNOK
TRYRUB
TRYSEK
TRYZAR
TRYHKD
TRYCNH
TRYDKK
TRYMXN
TRYPLN
TRYXAG
TRYXAU
TRYBTC
TRYETH
TRYLTC
TRYXRP
TRYDSH
TRYBCH
ZAREUR
ZARUSD
ZARJPY
ZARGBP
ZARCAD
ZARCHF
ZARAUD
ZARNZD
ZARSGD
ZARNOK
ZARRUB
ZARSEK
ZARTRY
ZARHKD
ZARCNH
ZARDKK
ZARMXN
ZARPLN
ZARXAG
